,leaning,question,response
1200,3,abortion,4
1201,3,gunrights,1
1202,3,taxwaste,2
1203,3,riotsolution,2
1204,3,govservices,4
1205,3,healthservices,1
1206,3,abortion,4
1207,3,gunrights,1
1208,3,taxwaste,2
1209,3,riotsolution,1
1210,3,govservices,4
1211,3,healthservices,1
1212,3,abortion,4
1213,3,gunrights,1
1214,3,taxwaste,1
1215,3,riotsolution,1
1216,3,govservices,4
1217,3,healthservices,1
1218,3,abortion,4
1219,3,gunrights,1
1220,3,taxwaste,2
1221,3,riotsolution,2
1222,3,govservices,4
1223,3,healthservices,1
1224,3,abortion,4
1225,3,gunrights,1
1226,3,taxwaste,2
1227,3,riotsolution,2
1228,3,govservices,4
1229,3,healthservices,1
1230,3,abortion,4
1231,3,gunrights,1
1232,3,taxwaste,2
1233,3,riotsolution,1
1234,3,govservices,4
1235,3,healthservices,1
1236,3,abortion,4
1237,3,gunrights,1
1238,3,taxwaste,2
1239,3,riotsolution,2
1240,3,govservices,4
1241,3,healthservices,1
1242,3,abortion,4
1243,3,gunrights,1
1244,3,taxwaste,2
1245,3,riotsolution,2
1246,3,govservices,4
1247,3,healthservices,1
1248,3,abortion,4
1249,3,gunrights,1
1250,3,taxwaste,2
1251,3,riotsolution,2
1252,3,govservices,4
1253,3,healthservices,1
1254,3,abortion,4
1255,3,gunrights,1
1256,3,taxwaste,2
1257,3,riotsolution,2
1258,3,govservices,4
1259,3,healthservices,1
1260,3,abortion,4
1261,3,gunrights,1
1262,3,taxwaste,2
1263,3,riotsolution,1
1264,3,govservices,4
1265,3,healthservices,1
1266,3,abortion,4
1267,3,gunrights,1
1268,3,taxwaste,2
1269,3,riotsolution,1
1270,3,govservices,4
1271,3,healthservices,1
1272,3,abortion,4
1273,3,gunrights,1
1274,3,taxwaste,2
1275,3,riotsolution,1
1276,3,govservices,4
1277,3,healthservices,1
1278,3,abortion,4
1279,3,gunrights,1
1280,3,taxwaste,2
1281,3,riotsolution,2
1282,3,govservices,4
1283,3,healthservices,1
1284,3,abortion,4
1285,3,gunrights,1
1286,3,taxwaste,2
1287,3,riotsolution,2
1288,3,govservices,4
1289,3,healthservices,1
1290,3,abortion,4
1291,3,gunrights,1
1292,3,taxwaste,1
1293,3,riotsolution,1
1294,3,govservices,4
1295,3,healthservices,1
1296,3,abortion,4
1297,3,gunrights,1
1298,3,taxwaste,2
1299,3,riotsolution,2
1300,3,govservices,4
1301,3,healthservices,1
1302,3,abortion,4
1303,3,gunrights,1
1304,3,taxwaste,2
1305,3,riotsolution,2
1306,3,govservices,4
1307,3,healthservices,1
1308,3,abortion,4
1309,3,gunrights,1
1310,3,taxwaste,2
1311,3,riotsolution,1
1312,3,govservices,4
1313,3,healthservices,1
1314,3,abortion,4
1315,3,gunrights,1
1316,3,taxwaste,2
1317,3,riotsolution,1
1318,3,govservices,4
1319,3,healthservices,1
1320,3,abortion,4
1321,3,gunrights,1
1322,3,taxwaste,2
1323,3,riotsolution,1
1324,3,govservices,4
1325,3,healthservices,1
