,leaning,question,response
2400,5,abortion,3
2401,5,gunrights,1
2402,5,taxwaste,2
2403,5,riotsolution,4
2404,5,govservices,1
2405,5,healthservices,1
2406,5,abortion,3
2407,5,gunrights,3
2408,5,taxwaste,2
2409,5,riotsolution,6
2410,5,govservices,1
2411,5,healthservices,1
2412,5,abortion,3
2413,5,gunrights,1
2414,5,taxwaste,1
2415,5,riotsolution,5
2416,5,govservices,1
2417,5,healthservices,1
2418,5,abortion,3
2419,5,gunrights,3
2420,5,taxwaste,2
2421,5,riotsolution,4
2422,5,govservices,1
2423,5,healthservices,1
2424,5,abortion,3
2425,5,gunrights,3
2426,5,taxwaste,2
2427,5,riotsolution,4
2428,5,govservices,1
2429,5,healthservices,1
2430,5,abortion,3
2431,5,gunrights,3
2432,5,taxwaste,2
2433,5,riotsolution,5
2434,5,govservices,1
2435,5,healthservices,1
2436,5,abortion,3
2437,5,gunrights,3
2438,5,taxwaste,1
2439,5,riotsolution,4
2440,5,govservices,1
2441,5,healthservices,1
2442,5,abortion,3
2443,5,gunrights,3
2444,5,taxwaste,2
2445,5,riotsolution,4
2446,5,govservices,1
2447,5,healthservices,1
2448,5,abortion,3
2449,5,gunrights,3
2450,5,taxwaste,2
2451,5,riotsolution,4
2452,5,govservices,1
2453,5,healthservices,1
2454,5,abortion,3
2455,5,gunrights,1
2456,5,taxwaste,2
2457,5,riotsolution,4
2458,5,govservices,1
2459,5,healthservices,1
2460,5,abortion,3
2461,5,gunrights,3
2462,5,taxwaste,2
2463,5,riotsolution,4
2464,5,govservices,1
2465,5,healthservices,1
2466,5,abortion,3
2467,5,gunrights,3
2468,5,taxwaste,2
2469,5,riotsolution,4
2470,5,govservices,1
2471,5,healthservices,1
2472,5,abortion,3
2473,5,gunrights,3
2474,5,taxwaste,2
2475,5,riotsolution,4
2476,5,govservices,1
2477,5,healthservices,1
2478,5,abortion,3
2479,5,gunrights,3
2480,5,taxwaste,2
2481,5,riotsolution,4
2482,5,govservices,1
2483,5,healthservices,1
2484,5,abortion,3
2485,5,gunrights,3
2486,5,taxwaste,2
2487,5,riotsolution,4
2488,5,govservices,1
2489,5,healthservices,1
2490,5,abortion,3
2491,5,gunrights,3
2492,5,taxwaste,2
2493,5,riotsolution,5
2494,5,govservices,1
2495,5,healthservices,1
2496,5,abortion,3
2497,5,gunrights,1
2498,5,taxwaste,2
2499,5,riotsolution,7
2500,5,govservices,1
2501,5,healthservices,1
2502,5,abortion,3
2503,5,gunrights,1
2504,5,taxwaste,2
2505,5,riotsolution,5
2506,5,govservices,1
2507,5,healthservices,1
2508,5,abortion,3
2509,5,gunrights,3
2510,5,taxwaste,2
