,leaning,question,response
3600,7,abortion,1
3601,7,gunrights,3
3602,7,taxwaste,1
3603,7,riotsolution,7
3604,7,govservices,1
3605,7,healthservices,1
3606,7,abortion,1
3607,7,gunrights,3
3608,7,taxwaste,1
3609,7,riotsolution,7
3610,7,govservices,1
3611,7,healthservices,1
3612,7,abortion,1
3613,7,gunrights,3
3614,7,taxwaste,1
3615,7,riotsolution,7
3616,7,govservices,1
3617,7,healthservices,1
3618,7,abortion,1
3619,7,gunrights,1
3620,7,taxwaste,1
3621,7,riotsolution,7
3622,7,govservices,1
3623,7,healthservices,1
3624,7,abortion,1
3625,7,gunrights,3
3626,7,taxwaste,1
3627,7,riotsolution,7
3628,7,govservices,1
3629,7,healthservices,1
3630,7,abortion,1
3631,7,gunrights,3
3632,7,taxwaste,1
3633,7,riotsolution,7
3634,7,govservices,1
3635,7,healthservices,1
3636,7,abortion,1
3637,7,gunrights,1
3638,7,taxwaste,1
3639,7,riotsolution,7
3640,7,govservices,1
3641,7,healthservices,1
3642,7,abortion,1
3643,7,gunrights,1
3644,7,taxwaste,1
3645,7,riotsolution,7
3646,7,govservices,1
3647,7,healthservices,1
3648,7,abortion,1
3649,7,gunrights,2
3650,7,taxwaste,1
3651,7,riotsolution,7
3652,7,govservices,1
3653,7,healthservices,1
3654,7,abortion,1
3655,7,gunrights,1
3656,7,taxwaste,1
3657,7,riotsolution,7
3658,7,govservices,1
3659,7,healthservices,1
3660,7,abortion,1
3661,7,gunrights,3
3662,7,taxwaste,1
3663,7,riotsolution,7
3664,7,govservices,1
3665,7,healthservices,1
3666,7,abortion,1
3667,7,gunrights,3
3668,7,taxwaste,1
3669,7,riotsolution,7
3670,7,govservices,1
3671,7,healthservices,1
3672,7,abortion,1
3673,7,gunrights,3
3674,7,taxwaste,1
3675,7,riotsolution,7
3676,7,govservices,1
3677,7,healthservices,1
3678,7,abortion,1
3679,7,gunrights,3
3680,7,taxwaste,1
3681,7,riotsolution,7
3682,7,govservices,1
3683,7,healthservices,1
3684,7,abortion,1
3685,7,gunrights,3
3686,7,taxwaste,1
3687,7,riotsolution,7
3688,7,govservices,1
3689,7,healthservices,1
3690,7,abortion,1
3691,7,gunrights,3
3692,7,taxwaste,1
3693,7,riotsolution,7
3694,7,govservices,1
3695,7,healthservices,1
3696,7,abortion,1
3697,7,gunrights,3
3698,7,taxwaste,1
3699,7,riotsolution,7
3700,7,govservices,1
3701,7,healthservices,1
3702,7,abortion,1
3703,7,gunrights,3
3704,7,taxwaste,1
3705,7,riotsolution,7
3706,7,govservices,1
3707,7,healthservices,1
3708,7,abortion,1
3709,7,gunrights,3
3710,7,taxwaste,1
3711,7,riotsolution,7
3712,7,govservices,1
3713,7,healthservices,1
3714,7,abortion,1
3715,7,gunrights,1
3716,7,taxwaste,1
3717,7,riotsolution,7
3718,7,govservices,1
3719,7,healthservices,1
3720,7,abortion,1
3721,7,gunrights,3
3722,7,taxwaste,1
3723,7,riotsolution,7
3724,7,govservices,1
3725,7,healthservices,1
3726,7,abortion,1
3727,7,gunrights,3
3728,7,taxwaste,1
3729,7,riotsolution,7
3730,7,govservices,1
3731,7,healthservices,1
3732,7,abortion,1
3733,7,gunrights,1
3734,7,taxwaste,1
3735,7,riotsolution,7
3736,7,govservices,1
3737,7,healthservices,1
3738,7,abortion,1
3739,7,gunrights,3
3740,7,taxwaste,1
3741,7,riotsolution,7
3742,7,govservices,1
3743,7,healthservices,1
3744,7,abortion,1
3745,7,gunrights,1
3746,7,taxwaste,1
3747,7,riotsolution,7
3748,7,govservices,1
3749,7,healthservices,1
3750,7,abortion,1
3751,7,gunrights,3
3752,7,taxwaste,1
3753,7,riotsolution,7
3754,7,govservices,1
3755,7,healthservices,1
3756,7,abortion,1
3757,7,gunrights,3
3758,7,taxwaste,1
3759,7,riotsolution,7
3760,7,govservices,1
3761,7,healthservices,1
3762,7,abortion,1
3763,7,gunrights,3
3764,7,taxwaste,1
3765,7,riotsolution,7
3766,7,govservices,1
3767,7,healthservices,1
3768,7,abortion,1
3769,7,gunrights,3
3770,7,taxwaste,1
3771,7,riotsolution,7
3772,7,govservices,1
3773,7,healthservices,1
3774,7,abortion,1
3775,7,gunrights,1
3776,7,taxwaste,1
3777,7,riotsolution,7
3778,7,govservices,1
3779,7,healthservices,1
3780,7,abortion,1
3781,7,gunrights,3
3782,7,taxwaste,1
3783,7,riotsolution,7
3784,7,govservices,1
3785,7,healthservices,1
3786,7,abortion,1
3787,7,gunrights,3
3788,7,taxwaste,1
3789,7,riotsolution,7
3790,7,govservices,1
3791,7,healthservices,1
3792,7,abortion,1
3793,7,gunrights,3
3794,7,taxwaste,1
3795,7,riotsolution,7
3796,7,govservices,1
3797,7,healthservices,1
3798,7,abortion,1
3799,7,gunrights,1
3800,7,taxwaste,1
3801,7,riotsolution,7
3802,7,govservices,1
3803,7,healthservices,1
3804,7,abortion,1
3805,7,gunrights,3
3806,7,taxwaste,1
3807,7,riotsolution,7
3808,7,govservices,1
3809,7,healthservices,1
3810,7,abortion,1
3811,7,gunrights,3
3812,7,taxwaste,1
3813,7,riotsolution,7
3814,7,govservices,1
3815,7,healthservices,1
3816,7,abortion,1
3817,7,gunrights,3
3818,7,taxwaste,1
3819,7,riotsolution,7
3820,7,govservices,1
3821,7,healthservices,1
3822,7,abortion,1
3823,7,gunrights,3
3824,7,taxwaste,1
3825,7,riotsolution,7
3826,7,govservices,1
3827,7,healthservices,1
3828,7,abortion,1
3829,7,gunrights,3
3830,7,taxwaste,1
3831,7,riotsolution,7
3832,7,govservices,1
3833,7,healthservices,1
3834,7,abortion,1
3835,7,gunrights,1
3836,7,taxwaste,1
3837,7,riotsolution,7
3838,7,govservices,1
3839,7,healthservices,1
3840,7,abortion,1
3841,7,gunrights,3
3842,7,taxwaste,1
3843,7,riotsolution,7
3844,7,govservices,1
3845,7,healthservices,1
3846,7,abortion,1
3847,7,gunrights,3
3848,7,taxwaste,1
3849,7,riotsolution,7
3850,7,govservices,1
3851,7,healthservices,1
3852,7,abortion,1
3853,7,gunrights,3
3854,7,taxwaste,1
3855,7,riotsolution,7
3856,7,govservices,1
3857,7,healthservices,1
3858,7,abortion,1
3859,7,gunrights,3
3860,7,taxwaste,1
3861,7,riotsolution,7
3862,7,govservices,1
3863,7,healthservices,1
3864,7,abortion,1
3865,7,gunrights,1
3866,7,taxwaste,1
3867,7,riotsolution,7
3868,7,govservices,1
3869,7,healthservices,1
3870,7,abortion,1
3871,7,gunrights,3
3872,7,taxwaste,1
3873,7,riotsolution,7
3874,7,govservices,1
3875,7,healthservices,1
3876,7,abortion,1
3877,7,gunrights,3
3878,7,taxwaste,1
3879,7,riotsolution,7
3880,7,govservices,1
3881,7,healthservices,1
3882,7,abortion,1
3883,7,gunrights,3
3884,7,taxwaste,1
3885,7,riotsolution,7
3886,7,govservices,1
3887,7,healthservices,1
3888,7,abortion,1
3889,7,gunrights,3
3890,7,taxwaste,1
3891,7,riotsolution,7
3892,7,govservices,1
3893,7,healthservices,1
3894,7,abortion,1
3895,7,gunrights,3
3896,7,taxwaste,1
3897,7,riotsolution,7
3898,7,govservices,1
3899,7,healthservices,1
3900,7,abortion,1
3901,7,gunrights,1
3902,7,taxwaste,1
3903,7,riotsolution,7
3904,7,govservices,1
3905,7,healthservices,1
3906,7,abortion,1
3907,7,gunrights,3
3908,7,taxwaste,1
3909,7,riotsolution,7
3910,7,govservices,1
3911,7,healthservices,1
3912,7,abortion,1
3913,7,gunrights,1
3914,7,taxwaste,1
3915,7,riotsolution,7
3916,7,govservices,1
3917,7,healthservices,1
3918,7,abortion,1
3919,7,gunrights,3
3920,7,taxwaste,1
3921,7,riotsolution,7
3922,7,govservices,1
3923,7,healthservices,1
3924,7,abortion,1
3925,7,gunrights,1
3926,7,taxwaste,1
3927,7,riotsolution,7
3928,7,govservices,1
3929,7,healthservices,1
3930,7,abortion,1
3931,7,gunrights,3
3932,7,taxwaste,1
3933,7,riotsolution,7
3934,7,govservices,1
3935,7,healthservices,1
3936,7,abortion,1
3937,7,gunrights,1
3938,7,taxwaste,1
3939,7,riotsolution,7
3940,7,govservices,1
3941,7,healthservices,1
3942,7,abortion,1
3943,7,gunrights,3
3944,7,taxwaste,1
3945,7,riotsolution,7
3946,7,govservices,1
3947,7,healthservices,1
3948,7,abortion,1
3949,7,gunrights,1
3950,7,taxwaste,1
3951,7,riotsolution,7
3952,7,govservices,1
3953,7,healthservices,1
3954,7,abortion,1
3955,7,gunrights,3
3956,7,taxwaste,1
3957,7,riotsolution,7
3958,7,govservices,1
3959,7,healthservices,1
3960,7,abortion,1
3961,7,gunrights,3
3962,7,taxwaste,1
3963,7,riotsolution,7
3964,7,govservices,1
3965,7,healthservices,1
3966,7,abortion,1
3967,7,gunrights,3
3968,7,taxwaste,1
3969,7,riotsolution,7
3970,7,govservices,1
3971,7,healthservices,1
3972,7,abortion,1
3973,7,gunrights,1
3974,7,taxwaste,1
3975,7,riotsolution,7
3976,7,govservices,1
3977,7,healthservices,1
3978,7,abortion,1
3979,7,gunrights,3
3980,7,taxwaste,1
3981,7,riotsolution,7
3982,7,govservices,1
3983,7,healthservices,1
3984,7,abortion,1
3985,7,gunrights,1
3986,7,taxwaste,1
3987,7,riotsolution,7
