,leaning,question,response
3000,6,abortion,4
3001,6,gunrights,3
3002,6,taxwaste,2
3003,6,riotsolution,6
3004,6,govservices,1
3005,6,healthservices,1
3006,6,abortion,3
3007,6,gunrights,3
3008,6,taxwaste,2
3009,6,riotsolution,6
3010,6,govservices,1
3011,6,healthservices,1
3012,6,abortion,3
3013,6,gunrights,3
3014,6,taxwaste,2
3015,6,riotsolution,4
3016,6,govservices,1
3017,6,healthservices,1
3018,6,abortion,4
3019,6,gunrights,3
3020,6,taxwaste,2
3021,6,riotsolution,5
3022,6,govservices,1
3023,6,healthservices,1
3024,6,abortion,4
3025,6,gunrights,3
3026,6,taxwaste,2
3027,6,riotsolution,5
3028,6,govservices,1
3029,6,healthservices,1
3030,6,abortion,4
3031,6,gunrights,3
3032,6,taxwaste,2
3033,6,riotsolution,5
3034,6,govservices,1
3035,6,healthservices,1
3036,6,abortion,4
3037,6,gunrights,3
3038,6,taxwaste,2
3039,6,riotsolution,5
3040,6,govservices,1
3041,6,healthservices,1
3042,6,abortion,4
3043,6,gunrights,3
3044,6,taxwaste,2
3045,6,riotsolution,4
3046,6,govservices,1
3047,6,healthservices,1
3048,6,abortion,4
3049,6,gunrights,3
3050,6,taxwaste,2
3051,6,riotsolution,5
3052,6,govservices,1
3053,6,healthservices,1
3054,6,abortion,4
3055,6,gunrights,3
3056,6,taxwaste,2
3057,6,riotsolution,4
3058,6,govservices,1
3059,6,healthservices,1
3060,6,abortion,4
3061,6,gunrights,3
3062,6,taxwaste,2
3063,6,riotsolution,5
3064,6,govservices,1
3065,6,healthservices,1
3066,6,abortion,4
3067,6,gunrights,3
3068,6,taxwaste,2
3069,6,riotsolution,5
3070,6,govservices,1
3071,6,healthservices,1
3072,6,abortion,4
3073,6,gunrights,3
3074,6,taxwaste,2
3075,6,riotsolution,6
3076,6,govservices,1
3077,6,healthservices,1
3078,6,abortion,4
3079,6,gunrights,3
3080,6,taxwaste,2
3081,6,riotsolution,5
3082,6,govservices,1
3083,6,healthservices,1
3084,6,abortion,4
3085,6,gunrights,3
3086,6,taxwaste,2
3087,6,riotsolution,6
3088,6,govservices,1
3089,6,healthservices,1
3090,6,abortion,4
3091,6,gunrights,1
3092,6,taxwaste,2
3093,6,riotsolution,5
3094,6,govservices,1
3095,6,healthservices,1
3096,6,abortion,3
3097,6,gunrights,3
3098,6,taxwaste,2
3099,6,riotsolution,6
3100,6,govservices,1
3101,6,healthservices,1
3102,6,abortion,3
3103,6,gunrights,3
3104,6,taxwaste,2
3105,6,riotsolution,5
3106,6,govservices,1
3107,6,healthservices,1
3108,6,abortion,4
3109,6,gunrights,3
3110,6,taxwaste,2
3111,6,riotsolution,5
3112,6,govservices,1
3113,6,healthservices,1
3114,6,abortion,4
3115,6,gunrights,3
3116,6,taxwaste,2
3117,6,riotsolution,5
3118,6,govservices,1
3119,6,healthservices,1
3120,6,abortion,4
3121,6,gunrights,3
3122,6,taxwaste,2
3123,6,riotsolution,5
3124,6,govservices,1
3125,6,healthservices,1
3126,6,abortion,4
3127,6,gunrights,3
3128,6,taxwaste,2
3129,6,riotsolution,6
3130,6,govservices,1
3131,6,healthservices,1
3132,6,abortion,4
3133,6,gunrights,3
3134,6,taxwaste,2
3135,6,riotsolution,5
3136,6,govservices,1
3137,6,healthservices,1
3138,6,abortion,3
3139,6,gunrights,3
3140,6,taxwaste,2
3141,6,riotsolution,5
3142,6,govservices,1
3143,6,healthservices,1
3144,6,abortion,4
3145,6,gunrights,3
3146,6,taxwaste,2
3147,6,riotsolution,5
3148,6,govservices,1
3149,6,healthservices,1
3150,6,abortion,4
3151,6,gunrights,3
3152,6,taxwaste,2
3153,6,riotsolution,5
3154,6,govservices,1
3155,6,healthservices,1
3156,6,abortion,4
3157,6,gunrights,3
3158,6,taxwaste,2
3159,6,riotsolution,6
3160,6,govservices,1
3161,6,healthservices,1
3162,6,abortion,3
3163,6,gunrights,3
3164,6,taxwaste,2
3165,6,riotsolution,5
3166,6,govservices,1
3167,6,healthservices,1
3168,6,abortion,3
3169,6,gunrights,3
3170,6,taxwaste,2
3171,6,riotsolution,5
3172,6,govservices,1
3173,6,healthservices,1
3174,6,abortion,4
3175,6,gunrights,3
3176,6,taxwaste,2
3177,6,riotsolution,5
3178,6,govservices,1
3179,6,healthservices,1
3180,6,abortion,4
3181,6,gunrights,3
3182,6,taxwaste,2
3183,6,riotsolution,5
3184,6,govservices,1
3185,6,healthservices,1
3186,6,abortion,4
3187,6,gunrights,3
3188,6,taxwaste,2
3189,6,riotsolution,6
3190,6,govservices,1
3191,6,healthservices,1
3192,6,abortion,4
3193,6,gunrights,3
3194,6,taxwaste,2
3195,6,riotsolution,6
3196,6,govservices,1
3197,6,healthservices,1
3198,6,abortion,3
3199,6,gunrights,3
3200,6,taxwaste,2
3201,6,riotsolution,5
3202,6,govservices,1
3203,6,healthservices,1
3204,6,abortion,4
3205,6,gunrights,3
3206,6,taxwaste,2
3207,6,riotsolution,6
3208,6,govservices,1
3209,6,healthservices,1
3210,6,abortion,4
3211,6,gunrights,3
3212,6,taxwaste,2
3213,6,riotsolution,5
3214,6,govservices,1
3215,6,healthservices,1
3216,6,abortion,3
3217,6,gunrights,3
