,leaning,question,response
0,1,abortion,4
1,1,gunrights,1
2,1,taxwaste,1
3,1,riotsolution,1
4,1,govservices,7
5,1,healthservices,1
6,1,abortion,4
7,1,gunrights,1
8,1,taxwaste,1
9,1,riotsolution,1
10,1,govservices,7
11,1,healthservices,1
12,1,abortion,4
13,1,gunrights,1
14,1,taxwaste,1
15,1,riotsolution,1
16,1,govservices,7
17,1,healthservices,1
18,1,abortion,4
19,1,gunrights,1
20,1,taxwaste,1
21,1,riotsolution,1
22,1,govservices,7
23,1,healthservices,1
24,1,abortion,4
25,1,gunrights,1
26,1,taxwaste,1
27,1,riotsolution,1
28,1,govservices,7
29,1,healthservices,1
30,1,abortion,4
31,1,gunrights,1
32,1,taxwaste,1
33,1,riotsolution,1
34,1,govservices,7
35,1,healthservices,1
36,1,abortion,4
37,1,gunrights,1
38,1,taxwaste,1
39,1,riotsolution,1
40,1,govservices,7
41,1,healthservices,1
42,1,abortion,4
43,1,gunrights,1
44,1,taxwaste,1
45,1,riotsolution,1
46,1,govservices,7
47,1,healthservices,1
48,1,abortion,4
49,1,gunrights,1
50,1,taxwaste,1
51,1,riotsolution,1
52,1,govservices,7
53,1,healthservices,1
54,1,abortion,4
55,1,gunrights,1
56,1,taxwaste,1
57,1,riotsolution,1
58,1,govservices,7
59,1,healthservices,1
60,1,abortion,4
61,1,gunrights,1
62,1,taxwaste,1
63,1,riotsolution,1
64,1,govservices,7
65,1,healthservices,1
66,1,abortion,4
67,1,gunrights,1
68,1,taxwaste,1
69,1,riotsolution,1
70,1,govservices,7
71,1,healthservices,1
72,1,abortion,4
73,1,gunrights,1
74,1,taxwaste,1
75,1,riotsolution,1
76,1,govservices,7
77,1,healthservices,1
78,1,abortion,4
79,1,gunrights,1
80,1,taxwaste,1
81,1,riotsolution,1
82,1,govservices,7
83,1,healthservices,1
84,1,abortion,4
85,1,gunrights,1
86,1,taxwaste,1
87,1,riotsolution,1
88,1,govservices,7
89,1,healthservices,1
90,1,abortion,4
91,1,gunrights,1
92,1,taxwaste,1
93,1,riotsolution,1
94,1,govservices,7
95,1,healthservices,1
96,1,abortion,4
97,1,gunrights,1
98,1,taxwaste,1
99,1,riotsolution,1
100,1,govservices,7
101,1,healthservices,1
102,1,abortion,4
103,1,gunrights,1
104,1,taxwaste,1
105,1,riotsolution,1
106,1,govservices,7
107,1,healthservices,1
