,leaning,question,response
1800,4,abortion,3
1801,4,gunrights,3
1802,4,taxwaste,2
1803,4,riotsolution,4
1804,4,govservices,3
1805,4,healthservices,1
1806,4,abortion,3
1807,4,gunrights,3
1808,4,taxwaste,2
1809,4,riotsolution,3
1810,4,govservices,3
1811,4,healthservices,1
1812,4,abortion,3
1813,4,gunrights,3
1814,4,taxwaste,2
1815,4,riotsolution,4
1816,4,govservices,3
1817,4,healthservices,1
1818,4,abortion,3
1819,4,gunrights,3
1820,4,taxwaste,2
1821,4,riotsolution,3
1822,4,govservices,4
1823,4,healthservices,1
1824,4,abortion,3
1825,4,gunrights,3
1826,4,taxwaste,2
1827,4,riotsolution,4
1828,4,govservices,3
1829,4,healthservices,1
1830,4,abortion,3
1831,4,gunrights,3
1832,4,taxwaste,2
1833,4,riotsolution,4
1834,4,govservices,3
1835,4,healthservices,1
1836,4,abortion,3
1837,4,gunrights,3
1838,4,taxwaste,2
1839,4,riotsolution,3
1840,4,govservices,3
1841,4,healthservices,1
1842,4,abortion,3
1843,4,gunrights,3
1844,4,taxwaste,2
1845,4,riotsolution,4
1846,4,govservices,3
1847,4,healthservices,1
1848,4,abortion,3
1849,4,gunrights,3
1850,4,taxwaste,2
1851,4,riotsolution,4
1852,4,govservices,3
1853,4,healthservices,1
1854,4,abortion,3
1855,4,gunrights,3
1856,4,taxwaste,2
1857,4,riotsolution,3
1858,4,govservices,3
1859,4,healthservices,1
1860,4,abortion,3
1861,4,gunrights,1
1862,4,taxwaste,2
1863,4,riotsolution,4
1864,4,govservices,3
1865,4,healthservices,1
1866,4,abortion,3
1867,4,gunrights,3
1868,4,taxwaste,2
1869,4,riotsolution,4
1870,4,govservices,4
1871,4,healthservices,1
1872,4,abortion,3
1873,4,gunrights,1
1874,4,taxwaste,2
1875,4,riotsolution,4
1876,4,govservices,3
1877,4,healthservices,1
1878,4,abortion,3
1879,4,gunrights,3
1880,4,taxwaste,2
1881,4,riotsolution,4
1882,4,govservices,3
1883,4,healthservices,1
1884,4,abortion,4
1885,4,gunrights,3
1886,4,taxwaste,2
1887,4,riotsolution,3
1888,4,govservices,3
1889,4,healthservices,1
1890,4,abortion,3
1891,4,gunrights,3
1892,4,taxwaste,2
1893,4,riotsolution,4
1894,4,govservices,3
1895,4,healthservices,1
1896,4,abortion,3
1897,4,gunrights,1
1898,4,taxwaste,2
1899,4,riotsolution,3
1900,4,govservices,4
1901,4,healthservices,1
1902,4,abortion,3
1903,4,gunrights,3
1904,4,taxwaste,2
1905,4,riotsolution,3
1906,4,govservices,3
1907,4,healthservices,1
1908,4,abortion,3
1909,4,gunrights,3
1910,4,taxwaste,2
1911,4,riotsolution,3
1912,4,govservices,3
1913,4,healthservices,1
1914,4,abortion,3
1915,4,gunrights,3
1916,4,taxwaste,2
1917,4,riotsolution,4
1918,4,govservices,3
1919,4,healthservices,1
1920,4,abortion,4
1921,4,gunrights,3
1922,4,taxwaste,2
1923,4,riotsolution,4
1924,4,govservices,3
1925,4,healthservices,1
1926,4,abortion,3
1927,4,gunrights,3
1928,4,taxwaste,2
1929,4,riotsolution,3
1930,4,govservices,3
1931,4,healthservices,1
1932,4,abortion,4
1933,4,gunrights,3
1934,4,taxwaste,2
1935,4,riotsolution,4
1936,4,govservices,3
1937,4,healthservices,1
1938,4,abortion,4
1939,4,gunrights,3
1940,4,taxwaste,2
1941,4,riotsolution,3
1942,4,govservices,3
1943,4,healthservices,1
1944,4,abortion,3
1945,4,gunrights,3
1946,4,taxwaste,2
1947,4,riotsolution,4
1948,4,govservices,3
1949,4,healthservices,1
1950,4,abortion,3
1951,4,gunrights,3
1952,4,taxwaste,2
1953,4,riotsolution,4
1954,4,govservices,3
1955,4,healthservices,1
1956,4,abortion,3
1957,4,gunrights,3
1958,4,taxwaste,2
1959,4,riotsolution,3
1960,4,govservices,3
1961,4,healthservices,1
1962,4,abortion,3
1963,4,gunrights,3
1964,4,taxwaste,2
1965,4,riotsolution,4
1966,4,govservices,3
1967,4,healthservices,1
1968,4,abortion,4
1969,4,gunrights,3
1970,4,taxwaste,2
